id_sequencage,Poids Mille Grains,Biomasse aérienne_VS3,Biomasse racine_VS3,Biomasse totale_VS3,Surface Projetée_VS3,Pourcentage azote aérien_VS3,Pourcentage azote Racine_VS3,Azote totale_VS3,Azote aérien_VS3,Azote racine_VS3,INN_VS3,SLN_VS3,RTR,SNU,NLA,RUE
173,5.04285714285714,0.4478,0.207201492537313,0.655001492537313,51.75,3.3255210440292,2.69379192564159,0.0204732603109418,0.0148916832351628,0.00558157707577901,0.554707348516598,2.75449839783091,NA,NA,2443.1437,3.3228967
174,5.04285714285714,0.4379,0.15578023288051,0.59368023288051,49.35,3.36898638688811,1.77187185149935,0.0175130174847929,0.014752791388183,0.00276022609660989,0.560702587891902,2.75449839783091,NA,NA,2443.1437,3.3228967
175,4.15,0.2465,0.110142316699694,0.356642316699694,42.005244551419,3.18479015746624,2.4338995534485,0.010531261092466,0.00785050773815428,0.00268075335431168,0.50044727025147,2.88003464703335,0.322464246280542,0.102340450784827,2223.7158,2.5624986
176,4.15,0.5459,0.193809016609544,0.739709016609544,46.4408481466593,3.24454775812385,2.77822491116243,0.0230964365911234,0.0177119862115981,0.00538445037952528,0.552028233742571,2.88003464703335,0.266106928606108,0.11589028158443,2223.7158,2.5624986
177,4.15,0.3924,0.154166176470588,0.546566176470588,50.0918242327941,3.63765544369326,2.57701041966717,0.0182470383923019,0.0142741599610524,0.00397287843124954,0.598811690460091,2.88003464703335,0.280018010024212,0.123984197550214,2223.7158,2.5624986
178,3.53809523809524,0.3724,0.169968498100621,0.542368498100621,39.3976126931091,4.38556830642993,3.02536257354633,0.0214740197015,0.0163318563731451,0.00514216332835499,0.718162388879318,4.08408833522083,0.290980088181833,0.131498680731326,1909.1797,3.053142
179,3.53809523809524,0.6594,0.189185531739489,0.848585531739489,67.7946465136817,3.9441213128879,2.25194561030759,0.0302678912145273,0.0260075359371828,0.00426035527734449,0.683850184869064,4.08408833522083,0.211985161715798,0.168102552491766,1909.1797,3.053142
180,3.53809523809524,0.3991,0.123532183441558,0.522632183441558,34.0892625903089,3.86438653632841,2.33967589603123,0.0183130193863099,0.0154227666664867,0.00289025271982323,0.637212876211858,4.08408833522083,0.228368607506413,0.145373929270796,1909.1797,3.053142
181,2.92142857142857,0.2221,0.168092038834952,0.390192038834951,23.1977716416952,3.61892766121049,2.28880400086565,0.0118849356455395,0.0080376383355485,0.00384729730999101,0.562769520199382,3.32213512504666,0.434769134609554,0.0639941004947537,2155.4506,2.9962559
182,2.92142857142857,0.187,0.0646872022864402,0.25168720228644,18.9477124174305,3.68756940651261,2.39680812289791,0.00844618290905538,0.00689575479017858,0.0015504281188768,0.563663838496102,3.32213512504666,0.224210909259662,0.120387831639367,2155.4506,2.9962559
